10:46:25.606 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
10:46:25.616 [Thread-35] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-9 - Shutdown initiated...
10:46:25.657 [Thread-35] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-9 - Shutdown completed.
10:46:25.710 [restartedMain] INFO  c.b.b.BoardprojectApplication - Starting BoardprojectApplication using Java 17.0.7 with PID 23496 (C:\Users\user\IdeaProjects\boardproject\target\classes started by user in C:\Users\user\IdeaProjects\boardproject)
10:46:25.710 [restartedMain] INFO  c.b.b.BoardprojectApplication - No active profile set, falling back to 1 default profile: "default"
10:46:25.840 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
10:46:25.842 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 JDBC repository interfaces.
10:46:25.897 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 90 (http)
10:46:25.919 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 208 ms
10:46:26.007 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Starting...
10:46:26.068 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-10 - Added connection net.sf.log4jdbc.sql.jdbcapi.ConnectionSpy@248a6ae0
10:46:26.068 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Start completed.
10:46:26.082 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:46:26.090 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 90 (http) with context path ''
10:46:26.094 [restartedMain] INFO  c.b.b.BoardprojectApplication - Started BoardprojectApplication in 0.406 seconds (process running for 1272.356)
10:46:26.095 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:46:52.251 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
10:46:52.262 [Thread-39] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Shutdown initiated...
10:46:52.295 [Thread-39] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Shutdown completed.
10:46:52.351 [restartedMain] INFO  c.b.b.BoardprojectApplication - Starting BoardprojectApplication using Java 17.0.7 with PID 23496 (C:\Users\user\IdeaProjects\boardproject\target\classes started by user in C:\Users\user\IdeaProjects\boardproject)
10:46:52.351 [restartedMain] INFO  c.b.b.BoardprojectApplication - No active profile set, falling back to 1 default profile: "default"
10:46:52.483 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
10:46:52.486 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 JDBC repository interfaces.
10:46:52.552 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 90 (http)
10:46:52.604 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 252 ms
